gate_type,delay_ps,tpHL_ps,tpLH_ps,power_mW,pdp,vdd,temp,cload,deck_file,output_file,static_input,static_state,switching_input,width_inv,width_n,width_n1,width_n2,width_n3,width_n4,width_p,width_p1,width_p2,width_p3,width_p4
inverter,125.185,59.919,125.185,0.005885,0.736714,1.784,-35.9,14.99,spice/generated/inverter_0000.cir,spice/outputs/inverter_0000_output.txt,,,,,0.835,,,,,0.913,,,,
inverter,43.5333,18.3038,43.5333,0.001263,0.054983,1.806,107.2,1.57,spice/generated/inverter_0001.cir,spice/outputs/inverter_0001_output.txt,,,,,1.133,,,,,0.63,,,,
inverter,201.364,72.5481,201.364,0.00362,0.728938,1.531,43.4,13.35,spice/generated/inverter_0002.cir,spice/outputs/inverter_0002_output.txt,,,,,0.798,,,,,0.54,,,,
inverter,37.7751,15.4048,37.7751,0.001065,0.04023,1.727,-3.6,1.12,spice/generated/inverter_0003.cir,spice/outputs/inverter_0003_output.txt,,,,,1.714,,,,,1.384,,,,
inverter,114.0167,78.7503,114.0167,0.008365,0.95375,1.883,75.2,19.19,spice/generated/inverter_0004.cir,spice/outputs/inverter_0004_output.txt,,,,,0.733,,,,,1.01,,,,
inverter,175.662,41.4239,175.662,0.003961,0.695797,1.602,-24.7,12.47,spice/generated/inverter_0005.cir,spice/outputs/inverter_0005_output.txt,,,,,1.771,,,,,0.645,,,,
inverter,59.947,26.8801,59.947,0.004965,0.297637,1.884,80.4,8.19,spice/generated/inverter_0006.cir,spice/outputs/inverter_0006_output.txt,,,,,1.96,,,,,1.304,,,,
inverter,72.9116,39.3465,72.9116,0.005432,0.396056,1.731,96.9,11.97,spice/generated/inverter_0007.cir,spice/outputs/inverter_0007_output.txt,,,,,1.793,,,,,1.428,,,,
inverter,49.4229,23.9428,49.4229,0.001707,0.084365,1.823,-32.4,2.52,spice/generated/inverter_0008.cir,spice/outputs/inverter_0008_output.txt,,,,,0.934,,,,,0.842,,,,
inverter,107.5538,40.8938,107.5538,0.002663,0.286416,1.54,-23.3,7.93,spice/generated/inverter_0009.cir,spice/outputs/inverter_0009_output.txt,,,,,1.454,,,,,0.917,,,,
inverter,136.7252,41.0969,136.7252,0.004515,0.617314,1.622,-5.4,13.31,spice/generated/inverter_0010.cir,spice/outputs/inverter_0010_output.txt,,,,,1.905,,,,,0.9,,,,
inverter,59.1957,49.8539,59.1957,0.004195,0.248326,1.765,-11.8,8.21,spice/generated/inverter_0011.cir,spice/outputs/inverter_0011_output.txt,,,,,0.745,,,,,1.594,,,,
