deck_file,output_file,vdd,temp,width_p,width_n,cload
spice/generated/inverter_0000.cir,spice/outputs/inverter_0000_output.txt,1.784,-35.9,0.913,0.835,14.99
spice/generated/inverter_0001.cir,spice/outputs/inverter_0001_output.txt,1.806,107.2,0.63,1.133,1.57
spice/generated/inverter_0002.cir,spice/outputs/inverter_0002_output.txt,1.531,43.4,0.54,0.798,13.35
spice/generated/inverter_0003.cir,spice/outputs/inverter_0003_output.txt,1.727,-3.6,1.384,1.714,1.12
spice/generated/inverter_0004.cir,spice/outputs/inverter_0004_output.txt,1.883,75.2,1.01,0.733,19.19
spice/generated/inverter_0005.cir,spice/outputs/inverter_0005_output.txt,1.602,-24.7,0.645,1.771,12.47
spice/generated/inverter_0006.cir,spice/outputs/inverter_0006_output.txt,1.884,80.4,1.304,1.96,8.19
spice/generated/inverter_0007.cir,spice/outputs/inverter_0007_output.txt,1.731,96.9,1.428,1.793,11.97
spice/generated/inverter_0008.cir,spice/outputs/inverter_0008_output.txt,1.823,-32.4,0.842,0.934,2.52
spice/generated/inverter_0009.cir,spice/outputs/inverter_0009_output.txt,1.54,-23.3,0.917,1.454,7.93
spice/generated/inverter_0010.cir,spice/outputs/inverter_0010_output.txt,1.622,-5.4,0.9,1.905,13.31
spice/generated/inverter_0011.cir,spice/outputs/inverter_0011_output.txt,1.765,-11.8,1.594,0.745,8.21
spice/generated/inverter_0012.cir,spice/outputs/inverter_0012_output.txt,1.994,65.6,1.335,1.527,17.01
spice/generated/inverter_0013.cir,spice/outputs/inverter_0013_output.txt,1.866,-2.2,0.548,0.973,6.09
spice/generated/inverter_0014.cir,spice/outputs/inverter_0014_output.txt,1.527,115.6,1.815,0.972,13.45
spice/generated/inverter_0015.cir,spice/outputs/inverter_0015_output.txt,1.637,110.9,1.188,0.897,5.69
spice/generated/inverter_0016.cir,spice/outputs/inverter_0016_output.txt,1.737,3.4,1.377,1.847,8.59
spice/generated/inverter_0017.cir,spice/outputs/inverter_0017_output.txt,1.532,124.6,1.264,0.636,1.9
spice/generated/inverter_0018.cir,spice/outputs/inverter_0018_output.txt,1.466,63.5,1.688,1.133,2.21
spice/generated/inverter_0019.cir,spice/outputs/inverter_0019_output.txt,1.629,124.4,1.294,1.957,17.35
spice/generated/inverter_0020.cir,spice/outputs/inverter_0020_output.txt,1.407,78.9,1.523,1.305,6.07
spice/generated/inverter_0021.cir,spice/outputs/inverter_0021_output.txt,1.785,-21.6,1.152,1.181,19.12
spice/generated/inverter_0022.cir,spice/outputs/inverter_0022_output.txt,1.926,3.5,1.251,0.768,18.34
spice/generated/inverter_0023.cir,spice/outputs/inverter_0023_output.txt,1.922,9.2,1.458,1.413,3.9
spice/generated/inverter_0024.cir,spice/outputs/inverter_0024_output.txt,1.858,49.0,1.668,1.296,1.01
spice/generated/inverter_0025.cir,spice/outputs/inverter_0025_output.txt,1.594,-36.8,1.894,1.818,16.8
spice/generated/inverter_0026.cir,spice/outputs/inverter_0026_output.txt,1.585,-30.4,1.817,1.92,2.63
spice/generated/inverter_0027.cir,spice/outputs/inverter_0027_output.txt,1.692,-28.6,1.641,1.649,3.44
spice/generated/inverter_0028.cir,spice/outputs/inverter_0028_output.txt,1.685,50.7,0.898,1.809,9.04
spice/generated/inverter_0029.cir,spice/outputs/inverter_0029_output.txt,1.527,49.0,1.595,0.802,6.92
spice/generated/inverter_0030.cir,spice/outputs/inverter_0030_output.txt,1.997,67.2,1.157,1.276,3.3
spice/generated/inverter_0031.cir,spice/outputs/inverter_0031_output.txt,1.535,15.8,1.382,0.845,5.18
spice/generated/inverter_0032.cir,spice/outputs/inverter_0032_output.txt,1.443,64.1,0.843,1.858,17.33
spice/generated/inverter_0033.cir,spice/outputs/inverter_0033_output.txt,1.443,-0.7,1.503,0.821,3.51
spice/generated/inverter_0034.cir,spice/outputs/inverter_0034_output.txt,1.961,54.2,1.209,1.677,16.34
spice/generated/inverter_0035.cir,spice/outputs/inverter_0035_output.txt,1.514,-24.0,1.147,1.135,9.87
spice/generated/inverter_0036.cir,spice/outputs/inverter_0036_output.txt,1.837,71.1,1.976,0.648,8.65
spice/generated/inverter_0037.cir,spice/outputs/inverter_0037_output.txt,1.604,102.2,0.873,0.785,9.52
spice/generated/inverter_0038.cir,spice/outputs/inverter_0038_output.txt,1.653,6.0,0.875,1.885,9.42
spice/generated/inverter_0039.cir,spice/outputs/inverter_0039_output.txt,1.917,50.8,0.576,1.999,16.88
spice/generated/inverter_0040.cir,spice/outputs/inverter_0040_output.txt,1.981,112.9,1.773,0.749,10.23
spice/generated/inverter_0041.cir,spice/outputs/inverter_0041_output.txt,1.528,26.2,0.588,1.068,19.72
spice/generated/inverter_0042.cir,spice/outputs/inverter_0042_output.txt,1.559,89.4,1.183,1.135,19.19
spice/generated/inverter_0043.cir,spice/outputs/inverter_0043_output.txt,1.997,51.7,1.578,0.732,6.64
spice/generated/inverter_0044.cir,spice/outputs/inverter_0044_output.txt,1.981,55.6,1.313,1.622,2.09
spice/generated/inverter_0045.cir,spice/outputs/inverter_0045_output.txt,1.751,43.0,1.779,0.736,19.25
spice/generated/inverter_0046.cir,spice/outputs/inverter_0046_output.txt,1.448,-9.3,1.393,1.513,5.47
spice/generated/inverter_0047.cir,spice/outputs/inverter_0047_output.txt,1.472,106.9,0.869,1.392,12.77
spice/generated/inverter_0048.cir,spice/outputs/inverter_0048_output.txt,1.652,56.3,1.284,1.902,4.88
spice/generated/inverter_0049.cir,spice/outputs/inverter_0049_output.txt,1.83,-0.6,1.094,1.508,6.7
spice/generated/inverter_0050.cir,spice/outputs/inverter_0050_output.txt,1.59,84.1,0.609,1.187,19.97
spice/generated/inverter_0051.cir,spice/outputs/inverter_0051_output.txt,1.998,-27.9,0.82,0.898,18.73
spice/generated/inverter_0052.cir,spice/outputs/inverter_0052_output.txt,1.929,105.1,1.054,0.737,16.84
spice/generated/inverter_0053.cir,spice/outputs/inverter_0053_output.txt,1.822,60.9,1.981,1.481,1.15
spice/generated/inverter_0054.cir,spice/outputs/inverter_0054_output.txt,1.89,9.4,1.495,1.908,3.55
spice/generated/inverter_0055.cir,spice/outputs/inverter_0055_output.txt,1.469,-22.3,1.33,0.909,12.49
spice/generated/inverter_0056.cir,spice/outputs/inverter_0056_output.txt,1.831,-6.4,1.451,0.896,10.28
spice/generated/inverter_0057.cir,spice/outputs/inverter_0057_output.txt,1.943,99.6,0.638,1.135,6.26
spice/generated/inverter_0058.cir,spice/outputs/inverter_0058_output.txt,1.402,87.2,1.456,0.893,15.08
spice/generated/inverter_0059.cir,spice/outputs/inverter_0059_output.txt,1.731,30.6,0.515,0.613,17.78
spice/generated/inverter_0060.cir,spice/outputs/inverter_0060_output.txt,1.942,50.0,1.752,1.374,3.81
spice/generated/inverter_0061.cir,spice/outputs/inverter_0061_output.txt,1.476,10.9,1.848,1.694,17.35
spice/generated/inverter_0062.cir,spice/outputs/inverter_0062_output.txt,1.939,-5.3,0.874,0.654,15.82
spice/generated/inverter_0063.cir,spice/outputs/inverter_0063_output.txt,1.93,27.1,1.431,0.732,18.67
spice/generated/inverter_0064.cir,spice/outputs/inverter_0064_output.txt,1.919,121.1,1.716,1.822,1.47
spice/generated/inverter_0065.cir,spice/outputs/inverter_0065_output.txt,1.842,14.8,1.896,1.703,17.42
spice/generated/inverter_0066.cir,spice/outputs/inverter_0066_output.txt,1.886,4.0,1.681,0.662,17.57
spice/generated/inverter_0067.cir,spice/outputs/inverter_0067_output.txt,1.915,-3.3,1.725,1.19,6.8
spice/generated/inverter_0068.cir,spice/outputs/inverter_0068_output.txt,1.877,-2.4,0.535,0.79,7.24
spice/generated/inverter_0069.cir,spice/outputs/inverter_0069_output.txt,1.919,119.5,0.919,1.462,8.59
spice/generated/inverter_0070.cir,spice/outputs/inverter_0070_output.txt,1.989,48.5,1.909,0.673,19.44
spice/generated/inverter_0071.cir,spice/outputs/inverter_0071_output.txt,1.507,118.8,0.898,0.663,9.26
spice/generated/inverter_0072.cir,spice/outputs/inverter_0072_output.txt,1.837,11.8,1.409,1.267,8.32
spice/generated/inverter_0073.cir,spice/outputs/inverter_0073_output.txt,1.746,2.0,1.563,0.503,18.59
spice/generated/inverter_0074.cir,spice/outputs/inverter_0074_output.txt,1.723,78.7,1.613,1.506,7.92
spice/generated/inverter_0075.cir,spice/outputs/inverter_0075_output.txt,1.442,69.6,0.995,0.971,17.11
spice/generated/inverter_0076.cir,spice/outputs/inverter_0076_output.txt,1.832,9.6,0.964,1.113,8.65
spice/generated/inverter_0077.cir,spice/outputs/inverter_0077_output.txt,1.577,-19.0,1.131,1.911,13.87
spice/generated/inverter_0078.cir,spice/outputs/inverter_0078_output.txt,1.942,61.6,0.951,1.322,1.01
spice/generated/inverter_0079.cir,spice/outputs/inverter_0079_output.txt,1.572,30.9,1.37,1.482,9.83
spice/generated/inverter_0080.cir,spice/outputs/inverter_0080_output.txt,1.665,-4.7,1.21,1.852,16.12
