deck_file,output_file,vdd,temp,width_p1,width_p2,width_n1,width_n2,cload,switching_input,static_input,static_state
spice/generated/nor2_0000.cir,spice/outputs/nor2_0000_output.txt,1.784,-35.9,0.913,0.835,1.605,1.515,17.95,a,b,0
spice/generated/nor2_0001.cir,spice/outputs/nor2_0001_output.txt,1.754,-34.8,0.641,0.849,1.403,1.342,14.6,b,a,0
spice/generated/nor2_0002.cir,spice/outputs/nor2_0002_output.txt,1.532,57.2,1.714,0.51,1.709,1.547,7.46,a,b,0
spice/generated/nor2_0003.cir,spice/outputs/nor2_0003_output.txt,1.529,86.0,0.653,1.07,1.038,1.016,6.03,a,b,0
spice/generated/nor2_0004.cir,spice/outputs/nor2_0004_output.txt,1.838,48.5,1.96,1.068,1.328,1.744,12.75,b,a,0
spice/generated/nor2_0005.cir,spice/outputs/nor2_0005_output.txt,1.746,76.3,0.569,0.842,0.934,0.62,5.42,a,b,0
spice/generated/nor2_0006.cir,spice/outputs/nor2_0006_output.txt,1.628,34.8,1.751,0.744,1.033,1.505,14.33,a,b,0
spice/generated/nor2_0007.cir,spice/outputs/nor2_0007_output.txt,1.765,-11.8,1.594,0.745,1.069,1.984,13.16,a,b,0
spice/generated/nor2_0008.cir,spice/outputs/nor2_0008_output.txt,1.811,99.1,1.664,0.844,0.548,0.973,6.09,a,b,0
spice/generated/nor2_0009.cir,spice/outputs/nor2_0009_output.txt,1.948,53.6,1.577,0.819,1.249,1.827,13.21,a,b,0
spice/generated/nor2_0010.cir,spice/outputs/nor2_0010_output.txt,1.559,0.7,1.342,0.894,1.377,1.847,8.59,a,b,0
spice/generated/nor2_0011.cir,spice/outputs/nor2_0011_output.txt,1.998,-17.2,1.24,1.634,1.792,0.729,4.04,b,a,0
spice/generated/nor2_0012.cir,spice/outputs/nor2_0012_output.txt,1.758,23.5,1.394,1.202,0.877,1.33,18.91,a,b,0
spice/generated/nor2_0013.cir,spice/outputs/nor2_0013_output.txt,1.809,48.6,0.9,1.461,0.667,1.152,9.62,b,a,0
spice/generated/nor2_0014.cir,spice/outputs/nor2_0014_output.txt,1.983,85.7,1.262,0.66,1.438,1.763,10.65,a,b,0
spice/generated/nor2_0015.cir,spice/outputs/nor2_0015_output.txt,1.492,85.8,1.309,1.668,1.296,0.501,7.16,a,b,0
spice/generated/nor2_0016.cir,spice/outputs/nor2_0016_output.txt,1.467,19.9,1.978,1.71,0.859,0.861,11.78,a,b,0
spice/generated/nor2_0017.cir,spice/outputs/nor2_0017_output.txt,1.451,40.2,0.604,1.641,1.649,0.693,10.03,a,b,0
spice/generated/nor2_0018.cir,spice/outputs/nor2_0018_output.txt,1.559,104.0,1.135,0.818,1.309,1.595,4.82,b,a,0
