deck_file,output_file,vdd,temp,width_inv,width_p1,width_p2,width_p3,width_p4,width_n1,width_n2,width_n3,width_n4,cload,switching_input,static_input,static_state
spice/generated/xor2_0000.cir,spice/outputs/xor2_0000_output.txt,1.784,-35.9,0.775,0.835,1.605,1.515,1.838,0.63,1.133,0.545,0.828,10.6,a,b,0
spice/generated/xor2_0001.cir,spice/outputs/xor2_0001_output.txt,1.83,75.7,0.92,1.174,0.917,1.804,1.638,0.739,1.134,0.917,0.823,15.51,a,b,0
spice/generated/xor2_0002.cir,spice/outputs/xor2_0002_output.txt,1.628,19.2,0.844,0.897,0.565,1.189,0.687,1.883,0.618,0.94,1.443,17.82,b,a,0
spice/generated/xor2_0003.cir,spice/outputs/xor2_0003_output.txt,1.823,-32.4,0.728,0.934,0.62,0.849,0.652,0.917,1.454,1.047,1.055,4.98,b,a,0
spice/generated/xor2_0004.cir,spice/outputs/xor2_0004_output.txt,1.765,-11.8,1.229,0.745,1.069,1.984,1.46,1.335,1.527,1.764,1.664,5.35,a,b,1
spice/generated/xor2_0005.cir,spice/outputs/xor2_0005_output.txt,1.641,-29.1,1.413,1.351,1.577,0.819,1.249,1.827,1.464,0.714,0.709,15.15,b,a,1
spice/generated/xor2_0006.cir,spice/outputs/xor2_0006_output.txt,1.939,25.9,0.719,1.996,1.264,0.636,0.571,0.664,1.441,1.688,1.133,2.21,b,a,1
spice/generated/xor2_0007.cir,spice/outputs/xor2_0007_output.txt,1.717,120.2,1.361,0.517,1.581,1.523,1.305,0.9,1.461,0.667,1.152,9.62,b,a,0
spice/generated/xor2_0008.cir,spice/outputs/xor2_0008_output.txt,1.705,-22.4,1.125,1.763,1.261,0.798,1.061,0.742,1.93,1.884,1.878,12.38,b,a,0
spice/generated/xor2_0009.cir,spice/outputs/xor2_0009_output.txt,1.467,19.9,1.485,1.71,0.859,0.861,1.351,0.618,1.598,1.724,1.967,11.12,a,b,0
spice/generated/xor2_0010.cir,spice/outputs/xor2_0010_output.txt,1.796,116.2,0.665,1.292,1.41,1.947,1.893,1.633,1.535,1.569,1.098,13.76,b,a,1
spice/generated/xor2_0011.cir,spice/outputs/xor2_0011_output.txt,1.94,34.5,0.748,0.596,0.532,1.331,1.383,0.511,1.562,0.588,0.601,1.6,b,a,0
spice/generated/xor2_0012.cir,spice/outputs/xor2_0012_output.txt,1.708,5.9,0.985,1.309,1.585,1.824,1.364,0.864,1.209,1.111,0.641,13.52,b,a,1
spice/generated/xor2_0013.cir,spice/outputs/xor2_0013_output.txt,1.647,102.5,0.554,1.48,1.469,0.591,1.592,1.701,0.664,0.787,1.304,3.66,a,b,1
spice/generated/xor2_0014.cir,spice/outputs/xor2_0014_output.txt,1.678,104.3,0.575,1.712,1.784,0.647,1.478,1.311,0.522,0.64,1.63,5.49,b,a,1
spice/generated/xor2_0015.cir,spice/outputs/xor2_0015_output.txt,1.689,102.7,1.402,0.747,0.503,1.086,1.89,1.678,0.928,1.545,1.596,15.88,b,a,0
spice/generated/xor2_0016.cir,spice/outputs/xor2_0016_output.txt,1.514,-4.1,0.558,1.604,0.591,0.97,0.575,1.215,1.879,1.297,0.585,10.65,a,b,0
spice/generated/xor2_0017.cir,spice/outputs/xor2_0017_output.txt,1.757,71.4,0.735,0.68,1.835,0.869,1.392,1.429,1.129,1.376,1.284,18.76,a,b,1
